FILIPINO ALLELE FREQUENCIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,D3S1358,vWA,D16S539,CSF1PO,TPOX,Y indel,D8S1179,D21S11,D18S51,DYS391,D2S441,D19S433,TH01,FGA,D22S1045,D5S818,D13S317,D7S820,SE33,D10S1248,D1S1656,D12S391,D2S1338,PENTA E,PENTA D,Allele,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,0.8571,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,,,,,0.0000,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.0000,,0.0000,,0.0000,,,,,,0.0000,,,,0.0000,,,,,,,0.0495,0.0000,5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,0.0000,0.0000,,0.0000,,,,,0.0000,0.1319,,,,0.0000,0.0000,,,,,,0.0000,0.0000,6,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,0.0000,0.0000,,0.0055,,0.0000,0.0000,,0.0000,0.2857,,,0.0165,0.0000,0.0000,,,,,,0.0000,0.0055,7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.0000,0.0110,0.4890,,0.0000,,,0.0000,0.0000,0.0000,0.0879,,0.0000,0.0000,0.2473,0.2473,0.0000,0.0000,,,,0.0000,0.0495,8,,,,,,,,,,,,,,,,,,,,,,,,,,
8.3,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0000,,0.3077,0.0659,0.1099,,0.0000,,0.0000,0.0857,0.0000,0.0000,0.3846,,0.0000,0.0330,0.0879,0.0220,0.0000,0.0000,0.0000,,,0.0385,0.4066,9,,,,,,,,,,,,,,,,,,,,,,,,,,
9.1,,,,,,,,,,,0.0275,,,,,,,0.0000,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,
9.3,,,,,,,,,,,,,0.0330,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0000,,0.1868,0.2692,0.0110,,0.1044,,0.0000,0.7714,0.2088,0.0000,0.0769,,0.0000,0.2582,0.1264,0.1593,,0.0000,0.0000,,,0.0110,0.1703,10,,,,,,,,,,,,,,,,,,,,,,,,,,
10.2,,,,,,,,,0.0000,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0000,0.0000,0.2308,0.2308,0.3736,,0.1044,,0.0110,0.1286,0.2198,0.0000,0.0000,,0.2198,0.2912,0.2802,0.4066,0.0000,0.0055,0.1813,,0.0000,0.0934,0.1044,11,,,,,,,,,,,,,,,,,,,,,,,,,,
11.2,,,,,,,,,,,,0.0000,,,,,,,0.0000,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,
11.3,,,,,,,,,,,0.1209,,,,,,,,,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0000,0.0000,0.1484,0.3626,0.0165,,0.1209,,0.0714,0.0143,0.2033,0.0220,,,0.0000,0.2308,0.2253,0.1319,0.0055,0.0495,0.0549,,0.0000,0.1209,0.1758,12,,,,,,,,,,,,,,,,,,,,,,,,,,
12.2,,,,,,,,,,,,0.0055,,,,,,,0.0000,,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,
12.3,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0000,0.0000,0.1209,0.0604,0.0000,,0.2253,,0.0714,0.0000,0.0275,0.2912,,0.0000,0.0000,0.1703,0.0330,0.0275,0.0000,0.3242,0.1154,,0.0000,0.0549,0.0769,13,,,,,,,,,,,,,,,,,,,,,,,,,,
13.2,,,,,,,,,0.0000,,,0.0330,,,,,,,0.0000,,,,,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,
13.3,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0330,0.1484,0.0055,0.0000,0.0000,,0.1923,,0.1868,,0.1538,0.1648,,0.0000,0.0275,0.0000,0.0000,0.0055,0.0000,0.2253,0.0769,0.0000,0.0000,0.1209,0.0110,14,,,,,,,,,,,,,,,,,,,,,,,,,,
14.2,,,,,,,,,0.0000,,,0.0879,,,,,,,0.0000,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,
14.3,,,,,,,,,,,,,,,,,,,0.0000,,0.0000,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.2692,0.0934,0.0000,0.0000,0.0000,,0.1484,,0.2418,,0.0330,0.0934,,0.0000,0.4396,0.0000,0.0000,0.0000,0.0110,0.2692,0.2308,0.0055,0.0000,0.1264,0.0000,15,,,,,,,,,,,,,,,,,,,,,,,,,,
15.2,,,,,,,,,,,,0.2363,,,,,,,0.0000,,,,,,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,
15.3,,,,,,,,,,,,,,,,,,,,,0.0055,,,,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.2637,0.2143,,,,,0.0934,,0.1154,,0.0055,0.0110,,0.0000,0.1538,0.0000,0.0000,,0.0220,0.0879,0.2088,0.0000,0.0275,0.0714,0.0000,16,,,,,,,,,,,,,,,,,,,,,,,,,,
16.1,,,,,,,,,,,,,,0.0000,,,,,,,0.0000,,,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,
16.2,,,,,,,,,,,,0.0495,,,,,,,0.0000,,,,,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,
16.3,,,,,,,,,,,,,,,,,,,0.0000,,0.0220,,,,,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.3516,0.2582,,,,,0.0055,,0.1209,,0.0000,0.0000,,0.0055,0.1429,0.0000,,,0.0385,0.0385,0.0385,0.0549,0.0989,0.0495,0.0000,17,,,,,,,,,,,,,,,,,,,,,,,,,,
17.1,,,,,,,,,,,,,,,,,,,,,,0.0000,,,,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,
17.2,,,,,,,,,,,,0.0055,,0.0000,,,,,0.0000,,,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,
17.3,,,,,,,,,,,,,,,,,,,0.0000,,0.0604,0.0000,,,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0769,0.2143,,,,,0.0000,,0.0330,,,,,0.0110,0.0110,0.0000,,,0.0275,0.0000,0.0000,0.1758,0.0659,0.0714,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
18.2,,,,,,,,,,,,0.0000,,0.0000,,,,,,,,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,
18.3,,,,,,,,,,,,,,,,,,,0.0000,,0.0055,0.0000,,,,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0055,0.0604,,,,,0.0000,,0.0659,,,,,0.1099,0.0000,,,,0.0275,0.0000,0.0000,0.2143,0.2308,0.0769,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
19.1,,,,,,,,,,,,,,,,,,,,,,0.0055,,,,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,
19.2,,,,,,,,,,,,0.0000,,0.0000,,,,,0.0000,,,0.0000,,,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,
19.3,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,,,,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0000,0.0055,,,,,,,0.0385,,,,,0.0385,0.0055,,,,0.0495,,,0.2033,0.0714,0.0385,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
20.2,,,,,,,,,,,,,,0.0000,,,,,0.0055,,,,,,,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,
20.3,,,,,,,,,,,,,,0.0000,,,,,,,0.0000,0.0000,,0.0000,,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,0.0055,,,,,,,0.0055,,,,,0.0769,,,,,0.0275,,,0.0879,0.0330,0.0330,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
21.2,,,,,,,,,,,,,,0.0000,,,,,0.0220,,,,,,,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,0.0000,,,,,,,0.0220,,,,,0.2143,,,,,0.0110,,,0.1538,0.0604,0.0275,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
22.2,,,,,,,,,,,,,,0.0000,,,,,0.0330,,,,,,,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,0.0000,,,,,,,0.0055,,,,,0.2033,,,,,0.0000,,,0.0440,0.1374,0.0055,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
23.2,,,,,,,,,,,,,,0.0055,,,,,0.0714,,,,,,,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,0.0000,,,,,,0.0000,0.0055,,,,,0.1593,,,,,0.0000,,,0.0330,0.2198,0.0110,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
24.2,,,,,,,,0.0000,,,,,,0.0055,,,,,0.0440,,,,,,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,
24.3,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,0.0000,0.0055,,,,,0.0824,,,,,0.0000,,,0.0055,0.0440,0.0000,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
25.2,,,,,,,,,,,,,,,,,,,0.0824,,,,,,,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,
25.3,,,,,,,,,,,,,,,,,,,0.0000,,,,,,,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,0.0000,0.0000,,,,,0.0714,,,,,0.0055,,,0.0055,0.0110,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
26.2,,,,,,,,,,,,,,0.0000,,,,,0.1099,,,,,,,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,
26.3,,,,,,,,,,,,,,,,,,,0.0055,,,,,,,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,0.0220,0.0000,,,,,0.0110,,,,,0.0000,,,0.0110,0.0000,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,
>27,,,,,,,,,,,,,,,,,,,,,,,,,,>27,,,,,,,,,,,,,,,,,,,,,,,,,,
27.2,,,,,,,,,,,,,,,,,,,0.1264,,,,,,,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,0.0440,,,,,,0.0000,,,,,0.0000,,,,0.0000,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,
28.2,,,,,,,,0.0000,,,,,,,,,,,0.1264,,,,,,,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,0.2582,,,,,,0.0000,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,
29.2,,,,,,,,0.0000,,,,,,,,,,,0.0330,,,,,,,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,
29.3,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,0.2637,,,,,,0.0000,,,,,0.0000,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
30.2,,,,,,,,0.0220,,,,,,0.0000,,,,,0.0769,,,,,,,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,0.1484,,,,,,0.0000,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,
31.2,,,,,,,,0.0604,,,,,,0.0000,,,,,0.0220,,,,,,,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,0.0495,,,,,,,,,,,0.0000,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,
32.2,,,,,,,,0.0714,,,,,,0.0000,,,,,0.0000,,,,,,,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,0.0220,,,,,,,,,,,0.0000,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,
33.2,,,,,,,,0.0165,,,,,,0.0000,,,,,0.0165,,,,,,,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,0.0000,,,,,,,,,,,0.0000,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,
34.1,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,
34.2,,,,,,,,0.0110,,,,,,,,,,,0.0000,,,,,,,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,0.0000,,,,,,,,,,,0.0000,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,
35.2,,,,,,,,0.0110,,,,,,,,,,,0.0000,,,,,,,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,0.0000,,,,,,,,,,,0.0000,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,0.0000,,,,,,,,,,,0.0000,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,
42.2,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,
43.2,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,
44.2,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,
45.2,,,,,,,,,,,,,,0.0055,,,,,,,,,,,,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2,,,,,,,,,,,,,,0,,,,,,,,,,,,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,
47.2,,,,,,,,,,,,,,0,,,,,,,,,,,,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,
48.2,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,
50.2,,,,,,,,,,,,,,0,,,,,,,,,,,,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,
51.2,,,,,,,,,,,,,,0,,,,,,,,,,,,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,D3S1358,vWA,D16S539,CSF1PO,TPOX,Y indel,D8S1179,D21S11,D18S51,DYS391,D2S441,D19S433,TH01,FGA,D22S1045,D5S818,D13S317,D7S820,SE33,D10S1248,D1S1656,D12S391,D2S1338,PENTA E,PENTA D,Allele,,,,,,,,,,,,,,,,,,,,,,,,,,
N,91,91,91,91,91,35,91,91,91,70,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where N = number of alleles typed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,